Country,Primary,Value,Secondary,Nominal,Diameter,Name
Australia,Dollar,0.01,Cent,1,17.65,1 Cent
Australia,Dollar,0.02,Cents,2,21.59,2 Cents
Australia,Dollar,0.05,Cents,5,19.41,5 Cents
Australia,Dollar,0.1,Cents,10,23.6,10 Cents
Australia,Dollar,0.2,Cents,20,28.65,20 Cents
Australia,Dollar,0.5,Cents,50,NA,50 Cents
Australia,Dollar,1,,,25,1 Dollar
Australia,Dollar,2,,,20.5,2 Dollar
Bangladesh,Taka,1,,,21.5,1 Taka
Bangladesh,Taka,2,,,24,2 Taka
Bangladesh,Taka,5,,,25.5,5 Taka
Benin,West African CFA franc,1,,,23,1 West African CFA franc
Benin,West African CFA franc,5,,,20,5 West African CFA franc
Benin,West African CFA franc,10,,,23.5,10 West African CFA franc
Benin,West African CFA franc,25,,,27,25 West African CFA franc
Benin,West African CFA franc,50,,,22,50 West African CFA franc
Benin,West African CFA franc,100,,,26,100 West African CFA franc
Benin,West African CFA franc,200,,,24.5,200 West African CFA franc
Benin,West African CFA franc,250,,,26.3,250 West African CFA franc
Benin,West African CFA franc,500,,,28,500 West African CFA franc
Benin,West African CFA franc,1,,,23,1 West African CFA franc
Benin,West African CFA franc,5,,,20,5 West African CFA franc
Benin,West African CFA franc,10,,,23.5,10 West African CFA franc
Benin,West African CFA franc,25,,,27,25 West African CFA franc
Benin,West African CFA franc,50,,,22,50 West African CFA franc
Benin,West African CFA franc,100,,,26,100 West African CFA franc
Benin,West African CFA franc,200,,,24.5,200 West African CFA franc
Benin,West African CFA franc,250,,,26.3,250 West African CFA franc
Benin,West African CFA franc,500,,,28,500 West African CFA franc
Burkina Faso,West African CFA franc,1,,,23,1 West African CFA franc
Burkina Faso,West African CFA franc,5,,,20,5 West African CFA franc
Burkina Faso,West African CFA franc,10,,,23.5,10 West African CFA franc
Burkina Faso,West African CFA franc,25,,,27,25 West African CFA franc
Burkina Faso,West African CFA franc,50,,,22,50 West African CFA franc
Burkina Faso,West African CFA franc,100,,,26,100 West African CFA franc
Burkina Faso,West African CFA franc,200,,,24.5,200 West African CFA franc
Burkina Faso,West African CFA franc,250,,,26.3,250 West African CFA franc
Burkina Faso,West African CFA franc,500,,,28,500 West African CFA franc
Cameroon,Central African CFA franc,1,,,14.94,1 Central African CFA franc
Cameroon,Central African CFA franc,2,,,18,2 Central African CFA franc
Cameroon,Central African CFA franc,5,,,16,5 Central African CFA franc
Cameroon,Central African CFA franc,10,,,18,10 Central African CFA franc
Cameroon,Central African CFA franc,25,,,22.75,25 Central African CFA franc
